"wind_gust","year","month","day"
3.0031597243725425,2022,5,1
1.5329916300810613,2022,6,1
3.364676862715629,2022,7,1
3.6080902799795798,2022,8,1
1.0843324061024608,2022,9,1
4.864721448806667,2022,10,1
4.385854169974724,2022,11,1
1.4031361859683165,2022,12,1
1.4157529471714843,2022,5,2
1.8250315766232579,2022,6,2
3.4093750030630163,2022,7,2
5.201898473194478,2022,8,2
1.772230716784633,2022,9,2
1.7189283209944257,2022,10,2
6.616134640824704,2022,11,2
2.63340972362914,2022,5,3
1.9236122723837672,2022,6,3
3.4045972245021,2022,7,3
3.6923611149191857,2022,8,3
0.94924358034986,2022,9,3
3.432600836386135,2022,10,3
2.4594780796090183,2022,11,3
3.0023021040324824,2022,5,4
3.4415546211541868,2022,6,4
3.2906250038908587,2022,7,4
3.260173731499699,2022,8,4
2.1595902766049324,2022,9,4
3.084795279460678,2022,10,4
2.420291666671013,2022,11,4
3.3186100432924936,2022,12,4
3.3156463411523074,2022,5,5
2.3179286214502812,2022,6,5
2.7656428083270024,2022,7,5
2.544233984473449,2022,8,5
3.034791377783651,2022,9,5
5.393849898121935,2022,10,5
3.4290277756750585,2022,11,5
3.5451944504347113,2022,12,5
2.9882477873194535,2022,5,6
1.3219957991518831,2022,6,6
3.7054311587515394,2022,7,6
1.9808895071338062,2022,8,6
2.4823974983157013,2022,9,6
6.132777786420451,2022,10,6
3.635315755603216,2022,11,6
3.003324082609858,2022,12,6
1.3937569444792137,2022,5,7
2.3421448454426854,2022,6,7
2.1088734335461643,2022,7,7
1.739451388637018,2022,8,7
2.0930737138859232,2022,9,7
5.023368122101494,2022,10,7
3.8586161396102217,2022,11,7
1.3705208316613506,2022,12,7
2.4513388177632125,2022,5,8
5.005268364387043,2022,6,8
1.9697703556958055,2022,7,8
1.640445371724214,2022,8,8
2.2150034714707636,2022,9,8
2.061375954762474,2022,10,8
4.327769288095523,2022,11,8
1.3946981259739952,2022,12,8
4.294197360867837,2022,5,9
4.155411437548687,2022,6,9
1.5304030565761129,2022,7,9
1.379958303927433,2022,8,9
2.422376649921515,2022,9,9
3.6018320650462057,2022,10,9
5.326259547848407,2022,11,9
0.7840751041574028,2022,12,9
5.6996177912918204,2022,5,10
6.043991631173788,2022,6,10
1.4305083559576972,2022,7,10
1.3803059796599337,2022,8,10
1.1916249999608328,2022,9,10
2.394326390393285,2022,10,10
6.894082073541941,2022,11,10
0.8652499986075175,2022,12,10
3.9115566399629285,2022,5,11
5.76121696278515,2022,6,11
2.3132105618249303,2022,7,11
1.3307649501170626,2022,8,11
2.004584787513564,2022,9,11
2.6348369216273677,2022,10,11
4.157590276689734,2022,11,11
0.8003400397770711,2022,12,11
4.929937273700062,2022,5,12
4.34774756755789,2022,6,12
2.3270243895243374,2022,7,12
1.2706666673430138,2022,8,12
2.619305070065081,2022,9,12
1.8882557326452736,2022,10,12
2.622640723371626,2022,11,12
1.5026963154971082,2022,12,12
4.811266532231306,2022,5,13
3.0770543187358586,2022,6,13
2.7965690366809506,2022,7,13
1.8305759880120436,2022,8,13
2.4382638881086476,2022,9,13
1.9047218366708705,2022,10,13
1.5909009693580183,2022,11,13
4.463166675468286,2022,12,13
1.7812404141725666,2022,5,14
2.2598818651891732,2022,6,14
2.7941863691856534,2022,7,14
1.1070403887664584,2022,8,14
1.4019110493072005,2022,9,14
3.1938402789748377,2022,10,14
3.426707794187546,2022,11,14
3.2361111177338495,2022,12,14
1.9537674078554392,2022,5,15
2.1509805317898185,2022,6,15
2.464787753070747,2022,7,15
3.2832847209479143,2022,8,15
1.5050069431838993,2022,9,15
5.101619178425363,2022,10,15
2.474933890310857,2022,11,15
1.1419027764466592,2022,12,15
3.4192479115840784,2022,5,16
2.096203768430882,2022,6,16
1.4614415024744456,2022,7,16
2.8303551568045258,2022,8,16
1.3921666666153922,2022,9,16
3.1356766171569856,2022,10,16
0.98163081196542,2022,11,16
1.7426995145393527,2022,12,16
3.407163766369172,2022,5,17
3.1725804175198973,2022,6,17
2.2133124106040163,2022,7,17
1.6869637897072105,2022,8,17
0.8314652766178673,2022,9,17
5.567368047452894,2022,10,17
2.0995483010906346,2022,11,17
1.6926268217392664,2022,12,17
3.790020863228945,2022,5,18
3.14035416998797,2022,6,18
1.445681501725256,2022,7,18
4.292070885595967,2022,8,18
0.8630298816167269,2022,9,18
3.364631946343515,2022,10,18
2.3095558687468047,2022,11,18
3.8852324797658766,2022,12,18
3.5597414447243274,2022,5,19
3.2341434537617277,2022,6,19
2.7132426811228902,2022,7,19
4.835574914852502,2022,8,19
1.1670347223317044,2022,9,19
4.361167479588639,2022,10,19
3.368436416642141,2022,11,19
5.333951390782992,2022,12,19
4.318756081811085,2022,5,20
2.2186908091996953,2022,6,20
2.6489550082515843,2022,7,20
4.714743050767316,2022,8,20
1.1639861093381316,2022,9,20
2.727628652135918,2022,10,20
4.220680565759539,2022,11,20
6.375486116773552,2022,12,20
3.346057227376617,2022,5,21
1.7893050761739357,2022,6,21
0.9210964599385144,2022,7,21
1.190729673954453,2022,8,21
2.1652430579092146,2022,9,21
4.135569449948767,2022,10,21
6.559999997627396,2022,11,21
4.682638890102195,2022,12,21
3.955781032558598,2022,5,22
1.5591965676946407,2022,6,22
1.6295760935178911,2022,7,22
2.6680472562616386,2022,8,22
2.4696872829187138,2022,9,22
3.549200833633366,2022,10,22
2.3302432227183374,2022,11,22
1.198256945339704,2022,12,22
2.8165226823229896,2022,4,23
2.7974339335617997,2022,5,23
2.13472878719487,2022,6,23
3.367475660313154,2022,7,23
2.4528242670508775,2022,8,23
1.6461609905922998,2022,9,23
1.603509382443804,2022,10,23
6.568817801286515,2022,11,23
4.117668282811961,2022,12,23
3.485299027616855,2022,4,24
3.3024055917454245,2022,5,24
3.282579972562853,2022,6,24
4.044048612978723,2022,7,24
3.633331012850439,2022,8,24
1.6095126516656162,2022,9,24
3.099194447365072,2022,10,24
3.6279678366620813,2022,11,24
3.182081005801369,2022,12,24
3.1844793911125175,2022,4,25
4.884687069394161,2022,5,25
5.5457222210864225,2022,6,25
3.5985386288849925,2022,7,25
2.8504745275658263,2022,8,25
2.5835351387224184,2022,9,25
2.570743054524064,2022,10,25
3.514016271612921,2022,11,25
3.215111109986901,2022,12,25
1.9262473484297207,2022,4,26
4.63045234106113,2022,5,26
4.712625354611442,2022,6,26
1.5713282321814204,2022,7,26
1.7057603346281793,2022,8,26
3.8537787111915476,2022,9,26
3.6724253015669066,2022,10,26
3.2613233106925077,2022,11,26
4.402183590474977,2022,12,26
1.8426138011796096,2022,4,27
2.152423609227925,2022,5,27
3.985631948378351,2022,6,27
1.3577831819902035,2022,7,27
1.0217361105036817,2022,8,27
2.6677646244276825,2022,9,27
2.9885416673418757,2022,10,27
2.8841346155770204,2022,11,27
4.39974305704236,2022,12,27
1.4868658774786727,2022,4,28
1.6756005579756583,2022,5,28
4.346706049984077,2022,6,28
1.6481263010473735,2022,7,28
1.6306532290184907,2022,8,28
2.302044508461899,2022,9,28
2.65982627239055,2022,10,28
2.71090647354186,2022,11,28
4.3999825676784585,2022,12,28
1.643511448514381,2022,4,29
3.4008239431057494,2022,5,29
2.7854892433434206,2022,6,29
2.763131944441961,2022,7,29
1.3492141853038724,2022,8,29
1.1996508363722798,2022,9,29
3.423465280027853,2022,10,29
2.0378943686169664,2022,11,29
3.1407654298676384,2022,12,29
2.709611112425207,2022,4,30
2.3110629362112785,2022,5,30
2.5052222220848006,2022,6,30
3.5325730157412476,2022,7,30
1.9390820582994417,2022,8,30
5.712520948751679,2022,9,30
3.144115197501358,2022,10,30
1.880770339440793,2022,11,30
3.1813716433985135,2022,12,30
1.87212526210355,2022,5,31
1.9132545203014546,2022,7,31
2.599422811956685,2022,8,31
1.6404725509495723,2022,10,31
0.9734022236341797,2022,12,31
